Group ID,URL,Title,H1,Meta Description
REPORT DESCRIPTION,"FULL DUPLICATES REPORT: Pages where Title, Meta Description, AND H1 are identical",,,
,,,,
1,https://www.kay.com/previously-owned-diamond-infinity-bracelet-112-ct-tw-sterling-silver/p/V-882993607,Previously Owned Diamond Infinity Bracelet 1-1/2 ct tw Sterling Silver | Kay,Previously Owned Diamond Infinity Bracelet 1-1/2 ct tw Sterling Silver,"This adorable bracelet for her features alternating infinity symbols decorated with diamonds and ""kisses."" The sterling silver bracelet has a total diamond weight of 1 1/2 carats. The sterling silver bracelet measures 7.5 inches, has a total diamond weight of 1 1/2 carats and secures with a lobster clasp. Available online while supplies last. Previously Owned Treasures are not eligible for in-store pick-up. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing."
1,https://www.kay.com/previously-owned-diamond-infinity-bracelet-112-ct-tw-sterling-silver/p/V-881212702,Previously Owned Diamond Infinity Bracelet 1-1/2 ct tw Sterling Silver | Kay,Previously Owned Diamond Infinity Bracelet 1-1/2 ct tw Sterling Silver,"This adorable bracelet for her features alternating infinity symbols decorated with diamonds and ""kisses."" The sterling silver bracelet has a total diamond weight of 1 1/2 carats. The sterling silver bracelet measures 7.5 inches, has a total diamond weight of 1 1/2 carats and secures with a lobster clasp. Available online while supplies last. Previously Owned Treasures are not eligible for in-store pick-up. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing."
2,https://www.kay.com/thin-vertical-rectangle-tag-necklace-sterling-silver-18%E2%80%9D/p/V-774772901,Thin Vertical Rectangle Tag Necklace Sterling Silver 18” | Kay,Thin Vertical Rectangle Tag Necklace Sterling Silver 18”,"Say it out loud with this slender tag necklace. Your note of caring or encouragement is shared along the length of the design. Crafted in sterling silver, the vertical pendant suspends along an adjustable 16-inch rope chain with a 2-inch extender that secures with a spring ring clasp."
2,https://www.kay.com/thin-vertical-rectangle-tag-necklace-sterling-silver-18%25E2%2580%259D/p/V-774772901,Thin Vertical Rectangle Tag Necklace Sterling Silver 18” | Kay,Thin Vertical Rectangle Tag Necklace Sterling Silver 18”,"Say it out loud with this slender tag necklace. Your note of caring or encouragement is shared along the length of the design. Crafted in sterling silver, the vertical pendant suspends along an adjustable 16-inch rope chain with a 2-inch extender that secures with a spring ring clasp."
3,https://www.kay.com/le-vian-diamond-ruby-dangle-earrings-38-ct-tw-diamonds-14k-strawberry-gold/p/V-910465309,Le Vian Diamond & Ruby Dangle Earrings 3/8 ct tw Diamonds 14K Strawberry Gold | Kay,Le Vian Diamond & Ruby Dangle Earrings 3/8 ct tw Diamonds 14K Strawberry Gold,These scrumptious earrings from Le Vian® showcase classic styling with a dramatically sweet twist. Passion Ruby™ circles lend crisp contrast to spheres drizzled with Nude Diamonds™. The masterful combination of delicious flavors is fashioned in 14K Strawberry Gold®. The earrings have a total diamond weight of 3/8 carat and secure with leverbacks. Le Vian®. Discover the Legend.
3,https://www.kay.com/le-vian-diamond-ruby-dangle-earrings-38-ct-tw-diamonds-14k-strawberry-gold/p/V-910394206,Le Vian Diamond & Ruby Dangle Earrings 3/8 ct tw Diamonds 14K Strawberry Gold | Kay,Le Vian Diamond & Ruby Dangle Earrings 3/8 ct tw Diamonds 14K Strawberry Gold,These scrumptious earrings from Le Vian® showcase classic styling with a dramatically sweet twist. Passion Ruby™ circles lend crisp contrast to spheres drizzled with Nude Diamonds™. The masterful combination of delicious flavors is fashioned in 14K Strawberry Gold®. The earrings have a total diamond weight of 3/8 carat and secure with leverbacks. Le Vian®. Discover the Legend.
4,https://www.kay.com/solid-spiga-chain-sterling-silver-20/p/V-508642206,"Solid Spiga Chain Sterling Silver 20"" | Kay","Solid Spiga Chain Sterling Silver 20""",This fashionable 20-inch fine jewelry solid Spiga chain is styled in sterling silver and secured by a lobster clasp.
4,https://www.kay.com/solid-spiga-chain-sterling-silver-20/p/V-508643804,"Solid Spiga Chain Sterling Silver 20"" | Kay","Solid Spiga Chain Sterling Silver 20""",This fashionable 20-inch fine jewelry solid Spiga chain is styled in sterling silver and secured by a lobster clasp.
5,https://www.kay.com/previously-owned-ever-us-mens-twostone-wedding-band-1-ct-tw-roundcut-diamonds-14k-white-gold/p/V-883410401,Previously Owned Ever Us Men's Two-Stone Wedding Band 1 ct tw Round-cut Diamonds 14K White Gold | Kay,Previously Owned Ever Us Men's Two-Stone Wedding Band 1 ct tw Round-cut Diamonds 14K White Gold,"From the Ever Us collection, two round diamonds one for your true love, one for your best friend are nestled in 14K white gold. This amazing men's wedding band features more diamonds set in the band, for an impressive total diamond weight of 1 carat. Available online while supplies last. Previously Owned Treasures are not eligible for in-store pickup. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing."
5,https://www.kay.com/previously-owned-ever-us-mens-twostone-wedding-band-1-ct-tw-roundcut-diamonds-14k-white-gold/p/V-883280606,Previously Owned Ever Us Men's Two-Stone Wedding Band 1 ct tw Round-cut Diamonds 14K White Gold | Kay,Previously Owned Ever Us Men's Two-Stone Wedding Band 1 ct tw Round-cut Diamonds 14K White Gold,"From the Ever Us collection, two round diamonds one for your true love, one for your best friend are nestled in 14K white gold. This amazing men's wedding band features more diamonds set in the band, for an impressive total diamond weight of 1 carat. Available online while supplies last. Previously Owned Treasures are not eligible for in-store pickup. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing."
