Group ID,URL,Title,H1,Meta Description
REPORT DESCRIPTION,DUPLICATE Meta DescriptionS REPORT: Pages where only the Meta Description matches (excluding all previous reports),,,
,,,,
1,https://www.kay.com/previously-owned-labgrown-diamonds-by-kay-drop-necklace-13-ct-tw-14k-white-gold-18%E2%80%9D/p/V-886679000,Previously Owned Lab-Grown Diamonds by KAY Drop Necklace 1/3 ct tw 14K White Gold 18” | Kay,Previously Owned Lab-Grown Diamonds by KAY Drop Necklace 1/3 ct tw 14K White Gold 18”,"Perfect for any occasion, this dainty linear drop necklace features a trio of independently certified round lab-grown diamonds that graduate in size from top to bottom. Smaller lab-grown diamonds decorate the bale.<br><br /><ul><li>Crafted in 14K White Gold</li><li>The lab-grown diamonds are independently certified.</li><li>Total Diamond Weight is 1/3 ct tw</li><li>Adjustable cable chain from 16 to 18 inches</li><li>Spring ring clasp</li><li>From the Lab-Grown Diamonds by KAY collection.</li></ul>"
1,https://www.kay.com/labgrown-diamonds-by-kay-drop-necklace-13-ct-tw-14k-white-gold-18%E2%80%9D/p/V-380884902,Lab-Grown Diamonds by KAY Drop Necklace 1/3 ct tw 14K White Gold 18” | Kay,Lab-Grown Diamonds by KAY Drop Necklace 1/3 ct tw 14K White Gold 18”,"Perfect for any occasion, this dainty linear drop necklace features a trio of independently certified round lab-grown diamonds that graduate in size from top to bottom. Smaller lab-grown diamonds decorate the bale.<br><br /><ul><li>Crafted in 14K White Gold</li><li>The lab-grown diamonds are independently certified.</li><li>Total Diamond Weight is 1/3 ct tw</li><li>Adjustable cable chain from 16 to 18 inches</li><li>Spring ring clasp</li><li>From the Lab-Grown Diamonds by KAY collection.</li></ul>"
2,https://www.kay.com/previously-owned-neil-lane-engagement-ring-78-ct-tw-princess-roundcut-diamonds-14k-white-gold-size-5/p/V-883172102,Previously Owned Neil Lane Engagement Ring 7/8 ct tw Princess & Round-cut Diamonds 14K White Gold Size 5 | Kay,Previously Owned Neil Lane Engagement Ring 7/8 ct tw Princess & Round-cut Diamonds 14K White Gold Size 5,A princess-cut diamond takes center stage in this dramatic engagement ring for her from the Neil Lane Bridal® collection. A supporting cast of round diamonds frames the center and lines the band of 14K white gold for a design worthy of applause. The ring has a total diamond weight of 7/8 carat. Previously Owned Treasures are not eligible for in-store pickup. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing.
2,https://www.kay.com/previously-owned-neil-lane-engagement-ring-78-ct-tw-princess-roundcut-diamonds-14k-white-gold-size-475/p/V-883171908,Previously Owned Neil Lane Engagement Ring 7/8 ct tw Princess & Round-cut Diamonds 14K White Gold Size 4.75 | Kay,Previously Owned Neil Lane Engagement Ring 7/8 ct tw Princess & Round-cut Diamonds 14K White Gold Size 4.75,A princess-cut diamond takes center stage in this dramatic engagement ring for her from the Neil Lane Bridal® collection. A supporting cast of round diamonds frames the center and lines the band of 14K white gold for a design worthy of applause. The ring has a total diamond weight of 7/8 carat. Previously Owned Treasures are not eligible for in-store pickup. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing.
3,https://www.kay.com/previously-owned-diamond-engagement-ring-38-ct-tw-roundcut-10k-white-gold-size-35/p/V-883882805,Previously Owned Diamond Engagement Ring 3/8 ct tw Round-cut 10K White Gold - Size 3.5 | Kay,Previously Owned Diamond Engagement Ring 3/8 ct tw Round-cut 10K White Gold - Size 3.5,"A round diamond center is enlivened by additional twinkling round diamonds in this lovely engagement ring for her. Styled in 10K white gold, the ring has a total diamond weight of 3/8 carat. Available online while supplies last. Previously Owned Treasures are not eligible for in-store pickup. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing."
3,https://www.kay.com/previously-owned-diamond-engagement-ring-38-ct-tw-roundcut-10k-white-gold-size-105/p/V-883176808,Previously Owned Diamond Engagement Ring 3/8 ct tw Round-cut 10K White Gold - Size 10.5 | Kay,Previously Owned Diamond Engagement Ring 3/8 ct tw Round-cut 10K White Gold - Size 10.5,"A round diamond center is enlivened by additional twinkling round diamonds in this lovely engagement ring for her. Styled in 10K white gold, the ring has a total diamond weight of 3/8 carat. Available online while supplies last. Previously Owned Treasures are not eligible for in-store pickup. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing."
4,https://www.kay.com/previously-owned-diamond-engagement-ring-112-ct-tw-roundcut-14k-white-gold-size-4/p/V-883937803,Previously Owned Diamond Engagement Ring 1-1/2 ct tw Round-cut 14K White Gold - Size 4 | Kay,Previously Owned Diamond Engagement Ring 1-1/2 ct tw Round-cut 14K White Gold - Size 4,"Round diamonds come together to create a fabulous look in this engagement ring for her. Additional round diamonds frame the center in brilliance and form three rows on either side. Fashioned in 14K white gold, the ring has a total diamond weight of 1 1/2 carats. Available online while supplies last. Previously Owned Treasures are not eligible for in-store pickup. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing."
4,https://www.kay.com/previously-owned-diamond-engagement-ring-112-ct-tw-roundcut-14k-white-gold-size-10/p/V-883937702,Previously Owned Diamond Engagement Ring 1-1/2 ct tw Round-cut 14K White Gold - Size 10 | Kay,Previously Owned Diamond Engagement Ring 1-1/2 ct tw Round-cut 14K White Gold - Size 10,"Round diamonds come together to create a fabulous look in this engagement ring for her. Additional round diamonds frame the center in brilliance and form three rows on either side. Fashioned in 14K white gold, the ring has a total diamond weight of 1 1/2 carats. Available online while supplies last. Previously Owned Treasures are not eligible for in-store pickup. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing."
4,https://www.kay.com/previously-owned-diamond-engagement-ring-112-ct-tw-roundcut-14k-white-gold-size-1025/p/V-883542704,Previously Owned Diamond Engagement Ring 1-1/2 ct tw Round-cut 14K White Gold - Size 10.25 | Kay,Previously Owned Diamond Engagement Ring 1-1/2 ct tw Round-cut 14K White Gold - Size 10.25,"Round diamonds come together to create a fabulous look in this engagement ring for her. Additional round diamonds frame the center in brilliance and form three rows on either side. Fashioned in 14K white gold, the ring has a total diamond weight of 1 1/2 carats. Available online while supplies last. Previously Owned Treasures are not eligible for in-store pickup. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing."
4,https://www.kay.com/previously-owned-multistone-diamond-engagment-ring-112-ct-tw-roundcut-14k-white-gold/p/V-881737706,Previously Owned Multi-Stone Diamond Engagment Ring 1-1/2 ct tw Round-cut 14K White Gold | Kay,Previously Owned Multi-Stone Diamond Engagment Ring 1-1/2 ct tw Round-cut 14K White Gold,"Round diamonds come together to create a fabulous look in this engagement ring for her. Additional round diamonds frame the center in brilliance and form three rows on either side. Fashioned in 14K white gold, the ring has a total diamond weight of 1 1/2 carats. Available online while supplies last. Previously Owned Treasures are not eligible for in-store pickup. Previously Owned Treasures may only be shipped either to your home address or to an alternate address. Price comparison based on new item pricing."
